date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-10-07,523.98,3.6686774322181464,2.103349213337034,1.5653282188811124,61.0,8.0,53.0,Above Signal,16,25.0,False
2025-10-08,524.85,3.9952887726647077,2.481737125202569,1.5135516474621387,61.0,8.0,53.0,Above Signal,17,25.0,False
2025-10-09,522.4,4.0102088966878,2.7874314794996153,1.2227774171881847,56.0,8.0,48.0,Above Signal,18,25.0,False
2025-10-10,510.96,3.0636054736668257,2.8426662783330574,0.22093919533376827,35.0,35.0,0.0,Above Signal,19,100.0,True
2025-10-13,514.05,2.5335474587794806,2.7808425144223423,-0.2472950556428617,0.0,61.0,-61.0,Below Signal,0,25.0,False
2025-10-14,513.57,2.051096906274779,2.6348933927928297,-0.5837964865180507,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-10-15,513.43,1.6385661667765135,2.4356279475895666,-0.7970617808130531,0.0,61.0,-61.0,Below Signal,2,25.0,False
2025-10-16,511.61,1.1515000185453346,2.17880236178072,-1.0273023432353856,0.0,61.0,-61.0,Below Signal,3,25.0,False
2025-10-17,513.58,0.9139239762725992,1.9258266846790961,-1.0119027084064969,0.0,58.0,-58.0,Below Signal,4,25.0,False
2025-10-20,516.79,0.9734421884376161,1.7353497854308002,-0.7619075969931841,0.0,58.0,-58.0,Below Signal,5,25.0,False
2025-10-21,517.66,1.0783816174736103,1.6039561518393624,-0.5255745343657521,35.0,33.0,2.0,Below Signal,6,90.0,True
2025-10-22,520.54,1.3780534593967104,1.5587756133508321,-0.18072215395412172,31.0,33.0,-2.0,Below Signal,7,90.0,True
2025-10-23,520.56,1.5987302192007746,1.5667665345208208,0.03196368467995381,69.0,8.0,61.0,Above Signal,0,25.0,False
2025-10-24,523.61,1.9967108119909653,1.6527553900148497,0.3439554219761156,69.0,8.0,61.0,Above Signal,1,25.0,False
2025-10-27,531.52,2.9167615805645255,1.9055566281247849,1.0112049524397406,69.0,8.0,61.0,Above Signal,2,25.0,False
2025-10-28,542.07,4.445955070694026,2.413636316638633,2.0323187540553933,79.0,8.0,71.0,Above Signal,3,25.0,False
2025-10-29,541.55,5.551893502326038,3.041287753776114,2.5106057485499242,76.0,8.0,68.0,Above Signal,4,25.0,False
2025-10-30,525.76,5.095498900301777,3.452129983081247,1.6433689172205304,71.0,8.0,63.0,Above Signal,5,25.0,False
